City,2010,2011,2012,2013,2014,2015,2016
Guangzhou,10748.2828,12423.44,13551.2072,15497.2334,16706.8719,18100.4136082273,19547.442
Shenzhen,9773.3062,11515.86,12971.4672,14572.6689,16001.8207,17502.8634,19492.6012
Zhuhai,1210.7921,1410.34,1509.2438,1678.9995,1867.2129,2025.4111,2226.3708
Shantou,1132.2311,1279.08,1430.7175,1573.7342,1716.5113,1868.0251,2080.9729
Foshan,5622.631948689325,6179.68,6579.18378337053,7010.6822,7441.5994,8003.9186,8630.000241919623
Shunde,1790.8638,1941.94,2112.3869,2326.6107,2419.68395927891,2586.6862,2793.2305541185633
Shaoguan,683.1033,816.81,906.476,1015.1241,1113.48965110536,1149.9806,1218.3919638433226
Heyuan,454.4656100093164,533.45,609.509115837542,690.2863,768.9506,810.079315356822,898.7162404555887
Meizhou,608.364,695.75,750.717,806.0217,885.8389,959.7781,1045.5668
Huizhou,1729.9673373904138,2094.94,2379.49297039557,2705.13271510595,3000.36737098303,3140.03056735675,3412.1671
Shanwei,454.5579,538.14,609.4592,671.7548,716.9931,762.0631,828.4882
Dongguan,4278.21057419477,4771.93,5039.21201870445,5517.4708035,5881.31727197208,6275.07367388745,6827.686822435634
Zhongshan,1853.4454071091573,2194.73,2446.30019953649,2651.93296345548,2823.00688425929,3010.03262138517,3202.778
Jiangmen,1570.4190632999998,1830.64,1880.3940878,2000.17643910728,2082.763594,2240.0243,2418.7805754118876
Yangjiang,636.2265443824065,767.24,888.709612021751,1049.6317,1168.5491,1250.0077,1270.7564
Zhanjiang,1401.4677029194993,1717.88,1872.1208132189,2070.00687245283,2258.98974418401,2380.0243,2584.432689108561
Maoming,1472.0960838629105,1721.25,1916.40791720408,2170.96943152132,2349.0313,2445.6313,2636.7434712667614
Zhaoqing,1088.389768229169,1328.83,1467.67938651607,1673.3723555959,1845.06479509004,1970.0099901641902,2084.019008787846
Qingyuan,873.3502480063099,1009.09,1033.17316926737,1103.97075990171,1197.7408,1277.8570001758,1387.7103502645948
Chaozhou,560.0004427082747,648.38,707.85009282163,784.244143519921,850.220803146893,910.1099,976.8303
Jieyang,1005.2437682135061,1223.88,1393.02290815249,1605.3545,1780.44420179063,1890.0144,2006.8992
Yunfu,401.088890774297,480.7,532.244274358502,608.298907780303,664.004808110136,713.141603696286,778.305166867663
