,City,2011,2012,2013,2014,2015,2016
0,Guangzhou,115.5853472705426,109.07773692310666,114.36053756155391,107.80551256329403,108.34112882751738,107.99444931531825
1,Shenzhen,117.82972685333444,112.64002167445591,112.34402920897028,109.80706972625995,109.3804494384817,111.3680702095864
2,Zhuhai,116.48077320623418,107.01276287987294,111.24773214241463,111.2098544400996,108.47242432825952,109.92192152990572
3,Shantou,112.96986984370947,111.85520061294056,109.99615228023703,109.07250411155833,108.82684547430594,111.39962198580737
4,Foshan,109.90724728906586,106.46479726086997,106.55854025114971,106.14658014308506,107.55642933426381,107.82218902025843
5,Shunde,108.43594024291518,108.77714553487749,110.14131454801202,104.00037957699197,106.90182038363632,107.98490184540216
6,Shaoguan,119.57342322896112,110.97758352615665,111.9857668597955,109.6900025430743,103.27717000857758,105.94891460284828
7,Heyuan,117.37961866664995,114.25796528963201,113.25282626027011,111.39589471788736,105.34868109301456,110.94175883996297
8,Meizhou,114.36409780986384,107.900395256917,107.36691722713087,109.90261180313135,108.34679985265944,108.93838898803796
9,Huizhou,121.09708401547816,113.58286969534068,113.68525768984496,110.91386955724707,104.65486985775219,108.66668418684637
10,Shanwei,118.38755854864694,113.25290816516149,110.22145534926705,106.7343471159417,106.28597402122837,108.71648292641385
11,Dongguan,111.5403254992458,105.60113033310317,109.4907454383812,106.59444302344608,106.69503758608383,108.80648064496485
12,Zhongshan,118.41352281441885,111.46246688825003,108.40586792896278,106.45091422601043,106.62505423450116,106.40343155238403
13,Jiangmen,116.57015906016737,102.71785210636718,106.3700663645152,104.12899348667362,107.55057878162624,107.98010429672071
14,Yangjiang,120.592264936819,115.83202283793219,118.10738691260048,111.3294406028324,106.97091803844616,101.6598857751036
15,Zhanjiang,122.577209337137,108.97855573258319,110.57015433174354,109.12957701957997,105.35790638835813,108.588500088363
16,Maoming,116.92511235294421,111.33815060009181,113.28326354905846,108.20195189730985,104.11233345422004,107.81443103327804
17,Zhaoqing,122.09137193213712,110.44899547090824,114.01484349849031,110.26026508206532,106.77185947109533,105.78723048070195
18,Qingyuan,115.54241866920607,102.38662252795785,106.85244185004757,108.49388801807022,106.68894306479334,108.59668570690475
19,Chaozhou,115.78205132558539,109.17210475672134,110.79240526673794,108.41277045829749,107.04394630564691,107.3310267254537
20,Jieyang,121.74957345669985,113.82021996866439,115.24250538916958,110.9066067208601,106.15409334924244,106.18433383364699
21,Yunfu,119.8487445194542,110.72275314302101,114.28942256137324,109.15765253189508,107.4000662323517,109.1375349346648
